,nonterminal,first set (set of terminals),,,follow set (set of terminals),,,nullable,endable
"ADDOP,",ADDOP,plus minus or,"TokenType::PLUS, TokenType::MINUS, TokenType::OR","firstSet[NonTerminal::ADDOP] = {TokenType::PLUS, TokenType::MINUS, TokenType::OR};",intnum floatnum stringlit lpar not qm id plus minus,"TokenType::INTNUM, TokenType::FLOATNUM, TokenType::STRINGLIT, TokenType::LPAR, TokenType::NOT, TokenType::QM, TokenType::ID, TokenType::PLUS, TokenType::MINUS","followSet[NonTerminal::ADDOP] = {TokenType::INTNUM, TokenType::FLOATNUM, TokenType::STRINGLIT, TokenType::LPAR, TokenType::NOT, TokenType::QM, TokenType::ID, TokenType::PLUS, TokenType::MINUS};",no,yes
"APARAMSTAIL,",APARAMSTAIL,comma,TokenType::COMMA,firstSet[NonTerminal::APARAMSTAIL] = {TokenType::COMMA};,rpar,TokenType::RPAR,followSet[NonTerminal::APARAMSTAIL] = {TokenType::RPAR};,yes,no
"ARITHEXPRTAIL,",ARITHEXPRTAIL,plus minus or,"TokenType::PLUS, TokenType::MINUS, TokenType::OR","firstSet[NonTerminal::ARITHEXPRTAIL] = {TokenType::PLUS, TokenType::MINUS, TokenType::OR};",semi eq neq lt gt leq geq comma colon rsqbr rpar,"TokenType::SEMI, TokenType::EQ, TokenType::NEQ, TokenType::LT, TokenType::GT, TokenType::LEQ, TokenType::GEQ, TokenType::COMMA, TokenType::COLON, TokenType::RSQBR, TokenType::RPAR","followSet[NonTerminal::ARITHEXPRTAIL] = {TokenType::SEMI, TokenType::EQ, TokenType::NEQ, TokenType::LT, TokenType::GT, TokenType::LEQ, TokenType::GEQ, TokenType::COMMA, TokenType::COLON, TokenType::RSQBR, TokenType::RPAR};",yes,no
"ASSIGNOP,",ASSIGNOP,assign,TokenType::ASSIGN,firstSet[NonTerminal::ASSIGNOP] = {TokenType::ASSIGN};,intnum floatnum stringlit lpar not qm id plus minus,"TokenType::INTNUM, TokenType::FLOATNUM, TokenType::STRINGLIT, TokenType::LPAR, TokenType::NOT, TokenType::QM, TokenType::ID, TokenType::PLUS, TokenType::MINUS","followSet[NonTerminal::ASSIGNOP] = {TokenType::INTNUM, TokenType::FLOATNUM, TokenType::STRINGLIT, TokenType::LPAR, TokenType::NOT, TokenType::QM, TokenType::ID, TokenType::PLUS, TokenType::MINUS};",no,no
"CLASSDECLBODY,",CLASSDECLBODY,public private func integer float string id,"TokenType::PUBLIC, TokenType::PRIVATE, TokenType::FUNC, TokenType::INTEGER, TokenType::FLOAT, TokenType::STRING, TokenType::ID","firstSet[NonTerminal::CLASSDECLBODY] = {TokenType::PUBLIC, TokenType::PRIVATE, TokenType::FUNC, TokenType::INTEGER, TokenType::FLOAT, TokenType::STRING, TokenType::ID};",rcurbr,TokenType::RCURBR,followSet[NonTerminal::CLASSDECLBODY] = {TokenType::RCURBR};,yes,no
"EXPRTAIL,",EXPRTAIL,eq neq lt gt leq geq,"TokenType::EQ, TokenType::NEQ, TokenType::LT, TokenType::GT, TokenType::LEQ, TokenType::GEQ","firstSet[NonTerminal::EXPRTAIL] = {TokenType::EQ, TokenType::NEQ, TokenType::LT, TokenType::GT, TokenType::LEQ, TokenType::GEQ};",semi comma colon rsqbr rpar,"TokenType::SEMI, TokenType::COMMA, TokenType::COLON, TokenType::RSQBR, TokenType::RPAR","followSet[NonTerminal::EXPRTAIL] = {TokenType::SEMI, TokenType::COMMA, TokenType::COLON, TokenType::RSQBR, TokenType::RPAR};",yes,no
"ARITHEXPR,",ARITHEXPR,intnum floatnum stringlit lpar not qm id plus minus,"TokenType::INTNUM, TokenType::FLOATNUM, TokenType::STRINGLIT, TokenType::LPAR, TokenType::NOT, TokenType::QM, TokenType::ID, TokenType::PLUS, TokenType::MINUS","firstSet[NonTerminal::ARITHEXPR] = {TokenType::INTNUM, TokenType::FLOATNUM, TokenType::STRINGLIT, TokenType::LPAR, TokenType::NOT, TokenType::QM, TokenType::ID, TokenType::PLUS, TokenType::MINUS};",semi eq neq lt gt leq geq comma colon rsqbr rpar,"TokenType::SEMI, TokenType::EQ, TokenType::NEQ, TokenType::LT, TokenType::GT, TokenType::LEQ, TokenType::GEQ, TokenType::COMMA, TokenType::COLON, TokenType::RSQBR, TokenType::RPAR","followSet[NonTerminal::ARITHEXPR] = {TokenType::SEMI, TokenType::EQ, TokenType::NEQ, TokenType::LT, TokenType::GT, TokenType::LEQ, TokenType::GEQ, TokenType::COMMA, TokenType::COLON, TokenType::RSQBR, TokenType::RPAR};",no,no
"FPARAMSTAIL,",FPARAMSTAIL,comma,TokenType::COMMA,firstSet[NonTerminal::FPARAMSTAIL] = {TokenType::COMMA};,rpar,TokenType::RPAR,followSet[NonTerminal::FPARAMSTAIL] = {TokenType::RPAR};,yes,no
"CLASSMETHOD,",CLASSMETHOD,sr,TokenType::SR,firstSet[NonTerminal::CLASSMETHOD] = {TokenType::SR};,lpar,TokenType::LPAR,followSet[NonTerminal::CLASSMETHOD] = {TokenType::LPAR};,yes,no
"FPARAMS,",FPARAMS,integer float string id,"TokenType::INTEGER, TokenType::FLOAT, TokenType::STRING, TokenType::ID","firstSet[NonTerminal::FPARAMS] = {TokenType::INTEGER, TokenType::FLOAT, TokenType::STRING, TokenType::ID};",rpar,TokenType::RPAR,followSet[NonTerminal::FPARAMS] = {TokenType::RPAR};,yes,no
"FUNCDECLTAIL,",FUNCDECLTAIL,void integer float string id,"TokenType::VOID, TokenType::INTEGER, TokenType::FLOAT, TokenType::STRING, TokenType::ID","firstSet[NonTerminal::FUNCDECLTAIL] = {TokenType::VOID, TokenType::INTEGER, TokenType::FLOAT, TokenType::STRING, TokenType::ID};",lcurbr semi,"TokenType::LCURBR, TokenType::SEMI","followSet[NonTerminal::FUNCDECLTAIL] = {TokenType::LCURBR, TokenType::SEMI};",no,no
